Team,Season,members,foreign_players,mean_age,salaries,salaries (millions),spending,spending (millions),MOY,rank,points,DIF,Gain (Wins),Null,defeat,BP,BC
Manchester City,2022-2023,73,38,21.9,"14,06M",14.06,"103,50M",103.5,6.6,1,89,61,28,5,5,94,33
Arsenal,2022-2023,76,39,21.8,"10,75M",10.75,"224,56M",224.56,6.4,2,84,45,26,6,6,88,43
Manchester United,2022-2023,73,38,23.2,"20,14M",20.14,"238,02M",238.02,6.1,3,75,15,23,6,9,58,43
Newcastle,2022-2023,40,17,25.5,"5,92M",5.92,"136,85M",136.85,6,4,71,35,19,14,5,68,33
Liverpool,2022-2023,67,36,22.3,"12,57M",12.57,"129,89M",129.89,6.1,5,67,28,19,10,9,75,47
Brighton,2022-2023,59,34,22,"2,13M",2.13,"40,24M",40.24,6,6,62,19,18,8,12,72,53
Aston Villa,2022-2023,64,30,23,"6,37M",6.37,"96,14M",96.14,5.8,7,61,5,18,7,13,51,46
Tottenham,2022-2023,64,30,22.3,"8,96M",8.96,"169,90M",169.9,5.9,8,60,7,18,6,14,70,63
Brentford,2022-2023,45,27,22.8,"1,34M",1.34,"56,00M",56,5.8,9,59,12,15,14,9,58,46
Fulham,2022-2023,54,28,24,"3,65M",3.65,"71,30M",71.3,5.7,10,52,2,15,7,16,55,53
Crystal Palace,2022-2023,63,24,22.3,"4,26M",4.26,"24,00M",24,5.7,11,45,-9,11,12,15,40,49
Chelsea,2022-2023,81,44,22.6,"19,69M",19.69,"617,29M",617.29,5.8,12,44,-9,11,11,16,38,47
Wolverhampton,2022-2023,61,43,23.6,"4,90M",4.9,"186,16M",186.16,5.6,13,41,-27,11,8,19,31,58
West Ham,2022-2023,52,24,23.2,"5,58M",5.58,"170,90M",170.9,5.7,14,40,-13,11,7,20,42,55
Bournemouth,2022-2023,50,16,22.8,"2,33M",2.33,"83,10M",83.1,5.4,15,39,-34,11,6,21,37,71
Nottingham Forest,2022-2023,55,31,24.8,"3,59M",3.59,"174,10M",174.1,5.5,16,38,-30,9,11,18,38,68
Everton,2022-2023,59,28,24.1,"8,86M",8.86,"45,00M",45,5.7,17,36,-23,8,12,18,34,57
Leicester,2022-2023,58,33,23.4,"6,77M",6.77,"48,00M",48,5.7,18,34,-17,9,7,22,51,68
Leeds,2022-2023,52,31,22.4,"2,63M",2.63,"143,04M",143.04,5.5,19,31,-30,7,10,21,48,78
Southampton,2022-2023,51,24,22.5,"4,94M",4.94,"117,10M",117.1,5.4,20,25,-37,6,7,25,36,73
Manchester City,2021-2022,57,31,21.9,"12,14M",12.14,"136,00M",136,6.7,1,93,73,29,6,3,99,26
Liverpool,2021-2022,61,34,22.3,"13,38M",13.38,"86,30M",86.3,6.6,2,92,68,28,8,2,94,26
Chelsea,2021-2022,60,30,23.6,"16,20M",16.2,"115,00M",115,6.5,3,74,43,21,11,6,76,33
Tottenham,2021-2022,55,26,22.4,"8,46M",8.46,"61,00M",61,6.1,4,71,29,22,5,11,69,40
Arsenal,2021-2022,67,37,22.4,"14,27M",14.27,"147,10M",147.1,5.9,5,69,13,22,3,13,61,48
Manchester United,2021-2022,57,31,23.4,"18,68M",18.68,"145,00M",145,5.9,6,58,0,16,10,12,57,57
West Ham,2021-2022,40,20,24.4,"4,54M",4.54,"68,50M",68.5,5.9,7,56,9,16,8,14,60,51
Leicester,2021-2022,43,25,23.9,"7,04M",7.04,"44,20M",44.2,5.9,8,52,3,14,10,14,62,59
Brighton,2021-2022,56,34,22.4,"2,95M",2.95,"39,90M",39.9,5.9,9,51,-2,12,15,11,42,44
Wolverhampton,2021-2022,47,36,22.4,"3,72M",3.72,"36,30M",36.3,5.7,10,51,-5,15,6,17,38,43
Newcastle,2021-2022,40,13,25.3,"6,11M",6.11,"157,97M",157.97,5.7,11,49,-18,13,10,15,44,62
Crystal Palace,2021-2022,33,15,24.4,"4,77M",4.77,"45,80M",45.8,5.8,12,48,4,11,15,12,50,46
Brentford,2021-2022,52,34,22.7,"1,25M",1.25,"26,10M",26.1,5.5,13,46,-8,13,7,18,48,56
Aston Villa,2021-2022,48,21,22.7,"6,62M",6.62,"68,00M",68,5.7,14,45,-2,13,6,19,52,54
Southampton,2021-2022,37,16,23.5,"5,09M",5.09,"31,10M",31.1,5.6,15,40,-24,9,13,16,43,67
Everton,2021-2022,49,24,24.1,"9,80M",9.8,"60,10M",60.1,5.5,16,39,-23,11,6,21,43,66
Leeds,2021-2022,40,16,22.1,"2,14M",2.14,"15,00M",15,5.4,17,38,-37,9,11,18,42,79
Burnley,2021-2022,36,15,25.9,"4,62M",4.62,"43,00M",43,5.6,18,35,-19,7,14,17,34,53
Watford,2021-2022,58,37,24.2,666K,0.666,"17,60M",17.6,5.5,19,23,-43,6,5,27,34,77
Norwich,2021-2022,42,25,22.8,147K,0.147,"40,00M",40,5.2,20,22,-61,5,7,26,23,84